Model,Method,Shots,OxfordPets,Flowers102,FGVCAircraft,DTD,EuroSAT,StanfordCars,Food101,SUN397,Caltech101,UCF101,ImageNet,AVERAGE ACCURACY,AVERAGE TRAINING TIME
,vit_b16_z1z2z3:clip_ensemble&cupl_full,1,91.79±0.19 0:00:00,84.06±0.64 0:00:00,30.40±0.92 0:00:00,56.89±0.69 0:00:00,68.18±4.30 0:00:00,68.15±0.66 0:00:00,86.42±0.03 0:00:00,70.24±0.34 0:00:00,94.36±0.28 0:00:00,73.95±1.24 0:00:00,70.28±0.05 0:00:00
,vit_b16_z1z2z3:clip_ensemble&cupl_full,2,91.61±0.49 0:00:00,89.21±0.50 0:00:00,32.34±0.26 0:00:00,59.47±1.10 0:00:00,70.67±0.89 0:00:00,69.88±0.15 0:00:00,86.55±0.01 0:00:00,71.19±0.05 0:00:00,94.85±0.20 0:00:00,76.60±1.40 0:00:00,70.66±0.11 0:00:00
,vit_b16_z1z2z3:clip_ensemble&cupl_full,4,91.87±0.10 0:00:00,91.46±0.67 0:00:00,34.85±0.57 0:00:00,62.49±0.67 0:00:00,76.46±2.90 0:00:00,71.89±0.61 0:00:00,86.70±0.10 0:00:00,72.83±0.18 0:00:00,95.19±0.24 0:00:00,78.73±0.35 0:00:00,71.02±0.05 0:00:00
,vit_b16_z1z2z3:clip_ensemble&cupl_full,8,92.02±0.09 0:00:00,94.14±0.64 0:00:00,36.81±0.55 0:00:00,65.59±0.31 0:00:00,76.48±0.81 0:00:00,73.42±0.14 0:00:00,86.85±0.11 0:00:00,74.03±0.15 0:00:00,95.60±0.42 0:00:00,80.58±0.38 0:00:00,71.53±0.05 0:00:00
,vit_b16_z1z2z3:clip_ensemble&cupl_full,16,92.04±0.19 0:00:00,95.22±0.14 0:00:00,39.18±0.47 0:00:00,66.27±0.94 0:00:00,78.60±0.45 0:00:00,76.33±0.13 0:00:00,86.96±0.07 0:00:00,74.66±0.17 0:00:00,95.85±0.08 0:00:00,81.99±0.35 0:00:00,71.86±0.09 0:00:00
,rn50_z1z2z3:clip_ensemble&cupl_full,1,87.74±0.67 0:00:00,78.01±0.74 0:00:00,21.27±0.95 0:00:00,53.37±1.14 0:00:00,60.77±0.85 0:00:00,59.18±0.79 0:00:00,77.87±0.12 0:00:00,65.10±0.28 0:00:00,91.09±0.27 0:00:00,66.62±0.23 0:00:00,62.03±0.06 0:00:00
,rn50_z1z2z3:clip_ensemble&cupl_full,2,86.61±1.00 0:00:00,84.22±0.71 0:00:00,23.72±0.24 0:00:00,56.56±1.61 0:00:00,66.33±1.38 0:00:00,62.15±0.50 0:00:00,78.01±0.07 0:00:00,66.15±0.10 0:00:00,91.17±0.23 0:00:00,70.19±1.37 0:00:00,62.47±0.18 0:00:00
,rn50_z1z2z3:clip_ensemble&cupl_full,4,87.45±0.47 0:00:00,87.02±0.50 0:00:00,26.47±0.38 0:00:00,59.46±0.81 0:00:00,72.31±3.26 0:00:00,66.12±0.63 0:00:00,78.26±0.03 0:00:00,67.45±0.37 0:00:00,91.96±0.65 0:00:00,72.26±0.27 0:00:00,62.92±0.06 0:00:00
,rn50_z1z2z3:clip_ensemble&cupl_full,8,88.18±0.39 0:00:00,91.96±0.39 0:00:00,28.85±0.69 0:00:00,63.91±0.28 0:00:00,73.07±2.63 0:00:00,67.97±0.23 0:00:00,78.62±0.26 0:00:00,68.99±0.16 0:00:00,92.41±0.12 0:00:00,75.66±0.39 0:00:00,63.42±0.09 0:00:00
,rn50_z1z2z3:clip_ensemble&cupl_full,16,88.63±0.33 0:00:00,93.45±0.42 0:00:00,31.87±0.64 0:00:00,64.86±0.52 0:00:00,77.32±0.69 0:00:00,71.78±0.20 0:00:00,78.79±0.26 0:00:00,70.28±0.06 0:00:00,93.18±0.12 0:00:00,76.77±0.49 0:00:00,64.13±0.15 0:00:00
